rating,aftertaste,aroma,body,flavor,coffee_origin,roast_level,roaster,roaster_location
93,8.0,9.0,8.0,9.0,"Caranavi, Bolivia",Medium-Light,Red Rooster Coffee Roaster,"Floyd, Virginia"
92,8.0,9.0,8.0,9.0,"Matagalpa growing region, Nicaragua",Medium-Light,Eccentricity Coffee Co.,"Cleveland, Ohio"
94,8.0,9.0,9.0,9.0,"Agaro Gera, Jimma Zone, Oromia State, Ethiopia",Medium-Light,Mostra Coffee,"San Diego, California"
94,8.0,9.0,9.0,9.0,"Yirgacheffe growing region, southern Ethiopia",Medium-Light,Regent Coffee,"Glendale, California"
93,8.0,9.0,8.0,9.0,"La Sierra, Cauca Department, Colombia",Medium-Light,Merge Coffee Company,"Harrisonburg, Virginia"
91,8.0,9.0,8.0,9.0,Colombia; Ethiopia,Medium-Light,Buon Caffe,"Taipei, Taiwan"
93,8.0,9.0,9.0,9.0,"San Lucas Tolimán, Lake Atitlán growing region, Guatemala",Medium-Light,El Gran Cafe,"Antigua, Guatemala"
94,8.0,9.0,9.0,9.0,"Valle de Cauca, Colombia",Light,VERYTIME,"Taoyuan, Taiwan"
93,8.0,9.0,9.0,9.0,"Cauca Department, Colombia",Light,Dr. Young Cafe,"Taipei, Taiwan"
93,8.0,9.0,9.0,9.0,"Worka-Sakaro, Gedeb District, Gedeo Zone, Ethiopia",Light,Bassline Coffee,"Oakland, California"
93,8.0,9.0,8.0,9.0,"Nyeri County, south-central Kenya",Medium-Light,AKA Coffee Roasters,"Xitun District, Taichung, Taiwan"
93,8.0,9.0,8.0,9.0,"Chimaltenango, Guatemala",Medium-Light,Temple Coffee,"Sacramento, California"
95,9.0,9.0,9.0,9.0,"Huila Department, Colombia",Light,Bird Rock Coffee Roasters,"San Diego, California"
92,8.0,9.0,9.0,8.0,"Eastern Highlands, Papua New Guinea",Light,Magnolia Coffee,"Charlotte, North Carolina"
95,9.0,10.0,9.0,9.0,"Sidamo growing region, southern Ethiopia",Light,Per’la Specialty Roasters,"Miami, Florida"
92,7.0,9.0,9.0,9.0,"Atok Benguet, northern Philippines",Medium-Light,Mostra Coffee,"San Diego, California"
93,8.0,9.0,9.0,9.0,"Urrao, Antioquia, Colombia",Medium-Light,Mostra Coffee,"San Diego,  California"
